Entry #,Movie Title,Year,Cast and Crew,URL
30,Pale Flower,1964,"['Masahiro Shinoda', 'Toru Takemitsu', 'Alain Delon']",https://www.rogerebert.com/reviews/great-movie-pale-flower-1964
31,Heart of Glass,1976,['Neil Young'],https://www.rogerebert.com/reviews/great-movie-heart-of-glass-1976
32,Senso,1954,"['Alida Valli', 'Farley Granger', 'Ingrid Bergman', 'Marlon Brando', 'Roberto Rossellini', 'Luchino Visconti', 'Martin Scorsese']",https://www.rogerebert.com/reviews/great-movie-senso-1954
33,Diary of a Country Priest,1951,"['Roger Ebert', 'Robert Bresson']",https://www.rogerebert.com/reviews/great-movie-diary-of-a-country-priest-1951
34,Shoah,1985,[],https://www.rogerebert.com/reviews/great-movie-shoah-1985
35,Red Beard,1965,"['Toshiro Mifune', 'Yuzo Kayama', 'Tsutomu Yamazaki']",https://www.rogerebert.com/reviews/great-movie-red-beard-1965
36,Superman,1978,"['Christopher Reeve', 'Glenn Ford', 'Alexander Salkind', 'Marlon Brando', 'Gene Hackman', 'Ned Beatty', 'Valerie Perrine']",https://www.rogerebert.com/reviews/great-movie-superman-1978
37,The Circus,1928,"['Charlie Chaplin', 'Buster Keaton']",https://www.rogerebert.com/reviews/great-movie-the-circus-1928
38,Lost in Translation,2003,"['Sofia Coppola', 'John Belushi', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris', 'Lance Acord', 'Sarah Flack']",https://www.rogerebert.com/reviews/great-movie-lost-in-translation-2003
39,Mystery Train,1989,"['Elvis Presley', ""Screamin' Jay Hawkins"", 'Charles Bukowski', 'Masatoshi Nagase', 'Youki Kudoh', 'Nicoletta Braschi', 'Tom Noonan', 'Elizabeth Bracco', 'Joe Strummer', 'Rick Aviles', 'Steve Buscemi', 'Cinque Lee', 'Tom Waits', 'John Lurie', 'Bill Murray', 'Johnny Depp', 'Robert Mitchum']",https://www.rogerebert.com/reviews/great-movie-mystery-train-1989
40,The Only Son,1936,"['Hiroshi Teshigahara', 'Yasujiro Ozu', 'Chishu Ryu']",https://www.rogerebert.com/reviews/great-movie-the-only-son-1936
41,Come and See,1985,[],https://www.rogerebert.com/reviews/great-movie-come-and-see-1985
42,Metropolis,1927,"['Fritz Lang', 'Brigitte Helm']",https://www.rogerebert.com/reviews/great-movie-metropolis-2010-restoration-1927
